procuringEntity_name,monto_total,num_procesos
GOBIERNO AUTONOMO DESCENTRALIZADO PROVINCIAL DE SANTO DOMINGO DE LOS TSACHILAS,16521436.73,78
GOBIERNO AUTONOMO DESCENTRALIZADO PROVINCIAL DE IMBABURA,16417259.5,206
MINISTERIO DE SALUD PUBLICA MATRIZ,16396083.59,66
EMPRESA PUBLICA METROPOLITANA DE HABITAT Y VIVIENDA,16101546.450000001,110
CUERPO DE BOMBEROS DEL DISTRITO METROPOLITANO DE QUITO,15730557.94,308
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE LAGO AGRIO,15573071.5,168
ULEAM,15445138.85,22
Escuela Superior Politécnica del Litoral,15367695.6,338
HOSPITAL PEDIATRICO BACA ORTIZ,15278542.22,219
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE SANTO DOMINGO,15185540.010000002,102
UNIVERSIDAD ESTATAL DE MILAGRO,15129981.85,122
Hospital Guayaquil Abel Gilbert Ponton,15041666.2,186
AUTORIDAD AEROPORTUARIA DE GUAYAQUIL FUNDACION DE LA M.I MUNICIPALIDAD DE GUAYAQUIL,14995389.91,66
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON MEJIA,14925667.42,267
GOBIERNO AUTONOMO DESCENTRALIZADO DE LA PROVINCIA DE COTOPAXI,14749959.56,133
EMPRESA ELECTRICA RIOBAMBA S.A. ,14666547.26,70
ILUSTRE MUNICIPALIDAD DE SANTA ELENA,14665974.4,128
UNIVERSIDAD DE LAS FUERZAS ARMADAS  ESPE,14409750.87,265
ELECTRO GENERADORA DEL AUSTRO S.A.,14323259.48,186
EMPRESA ELECTRICA REGIONAL NORTE S.A.,14320456.98,99
SERVICIO DE RENTAS INTERNAS,14086650.540000001,596
Universidad Nacional de Chimborazo,14038324.7,140
PRESIDENCIA DE LA REPUBLICA,13906115.39,33
CUERPO DE INGENIEROS DEL EJERCITO,13817415.51,252
EMPRESA ELECTRICA AMBATO REGIONAL CENTRO NORTE S.A.,13599653.58,232
EMPRESA PUBLICA MUNICIPAL DE URBANIZACION Y VIVIENDA EMUVI EP,13452648.149999999,14
MUNICIPIO DE LOJA,13292880.13,236
"AGENCIA NACIONAL DE REGULACIÓN Y CONTROL DEL TRANSPORTE TERRESTRE, TRÁNSITO Y SEGURIDAD VIAL",12705477.68,22
UNIVERSIDAD DE GUAYAQUIL,12264832.43,344
UNIVERSIDAD TECNICA ESTATAL DE QUEVEDO,12154392.64,144
FUERZA TERRESTRE ,12085124.01,126
HOSPITAL DE ESPECIALIDADES FUERZAS ARMADAS NO. 1,11881685.72,309
