procuringEntity_name,monto_total,num_procesos
DEFENSORIA PUBLICA,732547.51,42
AUTORIDAD PORTUARIA DE MANTA,730393.66,21
Gobierno Autónomo del Cantón Nobol,728829.39,219
Agencia de Regulacion y Control de la Bioseguridad y Cuarentena para Galapagos,727433.89,76
CENTROCLÍNICO QUIRÚRGICO AMBULATORIO HOSPITAL DEL DÍA - EL TENA,725367.2200000001,222
BRIGADA DE CABALLERIA MECANIZADA NRO 3 MANABI,720617.21,70
EMPRESA PUBLICA MUNICIPAL DE MOVILIDAD DE CAYAMBE,718527.54,98
Direccion Distrital 09D12 Balao - Naranjal - Educación,718470.27,65
UNIVERSIDAD PÚBLICA DE SANTO DOMINGO DE LOS TSÁCHILAS,715583.05,219
CENTRO CLINICO QUIRURGICO AMBULATORIO HOSPITAL DEL DIA - ZAMORA,713827.4299999999,144
DIRECCION DISTRITAL 09D04-FEBRES CORDERO - EDUCACION,713465.75,75
SUBZONA LOJA,708470.62,28
DIRECCIÓN DISTRITAL 14D01- MORONA - EDUCACIÓN,706855.98,145
GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE RICAURTE,706431.94,22
DIRECCION DISTRITAL 01D01 PARROQ. URBANAS MACHANG. A BELLAVISTA Y PARROQ. RUR. NULTI A SAYAUSI-EDUCACION,706191.66,68
DIRECCION DISTRITAL 12D02 - PUEBLOVIEJO - URDANETA - EDUCACION,705033.1,54
DIRECCION DISTRITAL 24D02-LA LIBERTAD-SALINAS-SALUD,701771.13,38
Junta Parroquial de Arapicos,700424.4199999999,64
FIDEICOMISO MERCANTIL FONDO AMBIENTAL PARA LA PROTECCION DE LAS CUENCAS  Y AGUA - FONAG,698001.58,93
DIRECCION DISTRITAL 09D20- SALITRE- SALUD,697600.48,21
EMPRESA PUBLICA DE LA MANCOMUNIDAD DE TRANSITO TRANSPORTE TERRESTRE Y SEGURIDAD VIAL DE LA PROVINCIA DE PASTAZA,696581.9,77
FUNDACION MUNICIPAL DE LA MUJER Y EL NIÑO DE CUENCA,696152.44,181
direccion distrital 21d03 - cuyabeno putumayo,695506.77,53
HIDROVICTORIA S.A,693242.21,32
EOD DISTRITO METROPOLITANO DE QUITO,693198.74,89
INSTITUTO DE INVESTIGACIÓN GEOLÓGICO Y ENERGÉTICO,689724.9,112
GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIA RURAL DE CONOCOTO,685938.28,69
CORPORACION DE PROMOCION ECONOMICA CONQUITO,685554.8,106
COORDINACION ZONAL 1 DEL MINISTERIO DE INCLUSION ECONOMICA Y SOCIAL,682840.26,40
GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE POMASQUI,682743.49,19
GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE TANICUCHI,681816.16,40
CENTRO CLINICO QUIRURGICO AMBULATORIO HOSPITAL DEL DIA LA TRONCAL,680698.86,78
PATRONATO MUNICIPAL DE INCLUSION SOCIAL DE QUININDE DR. RAUL HUMBERTO TORRES DELGADO,679948.49,82
Servicio de Dragas,678609.12,91
CUERPO DE BOMBEROS DE RUMIÑAHUI,677817.6,47
DIRECCION DISTRITAL 06D02-ALAUSI-CHUNCHI-EDUCACION,677336.56,67
BASE NAVAL DE ESMERALDAS,675169.1900000001,110
CUERPO DE BOMBEROS DEL CANTON PALTAS,672379.99,46
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON QUINSALOMA,671170.76,104
DIRECCION DISTRITAL 21D04-SHUSHUFINDI-SALUD TIPO I,668844.5,31
DIRECCION DISTRITAL 09D03 - PARROQUIAS URBANAS (GARCIA MORENO A ROCA) - EDUCACION,667648.38,104
DIRECCION DISTRITAL-06D01-CHAMBO-RIOBAMBA-MIES,667236.46,59
UNIVERSIDAD DE LAS FUERZAS ARMADAS ESPE SEDE LATACUNGA,666755.46,67
"BRIGADA DE SELVA No 19 ""NAPO""",661461.02,72
"DIRECCIÓN DISTRITAL 09D05 - TARQUI - 1, TENGUEL - EDUCACIÓN",661214.17,40
DIRECCION DISTRITAL 17D11-MEJIA-RUMIÑAHUI-EDUCACION,659290.46,154
NUCLEO DE SOLCA MACH,658944.71,107
DIRECCION DISTRITAL 10D02 ANTONIO ANTE-OTAVALO-SALUD,658748.0,105
DIRECCION DISTRITAL 21D01 CASCALES GONZALO PIZARRO SUCUMBIOS - EDUCACION,656350.97,85
ESTACION AERONAVAL GUAYAQUIL,656000.25,73
DISTRITO QUEVEDO,654698.8,7
DIRECCION DISTRITAL 17D04 PARROQUIAS URBANAS PUENGASI A ITCHIMBIA EDUCACION,653352.6,93
DEFENSORIA DEL PUEBLO,651904.04,29
DIRECCION DISTRITAL 08D06 - RIOVERDE- EDUCACION,651794.06,64
Direccion Distrital 10D02 Antonio Ante Otavalo,650082.81,189
"EMPRESA PUBLICA DE COMERCIALIZACION E INDUSTRIALIZACIONTRANSPORTE MULTIMODAL Y TURISMO DEL GOBIERNO AUTONOMDESCENTRALIZADO PROVINCIAL DE PASTAZA, PASTAZA PROGRESA E.P.",648795.73,65
"BRIGADA DE CABALLERIA BLINDADA No. 11 ""GALÁPAGOS""",644657.3,15
GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE TARQUI,644079.52,79
DIRECCION DISTRITAL 13D07-CHONE-FLAVIO ALFARO-EDUCACION,643586.52,65
CENTRO DE SALUD C MATERNO INFANTIL Y EMERGENCIAS CUENCA,640661.63,83
DIRECCIÓN DISTRITAL 12D06 BUENA FE - VALENCIA - EDUCACIÓN,640639.63,111
CONSEJO DE EDUCACION SUPERIOR,639182.3200000001,75
Municipio de Naranjito,638518.69,33
DIRECCION DISTRITAL 18D02 - PARROQUIAS URBANAS: (CELIANO MONGE A PISHILATA) Y PARROQUIAS RURALES: (HUACHI GRANDE A TOTORAS) - SALUD,638364.98,33
MALECON 2000 (MSB),637161.55,2
HOSPITAL NICOLAS COTTO INFANTE,636126.0700000001,9
ESTACION AERONAVAL DE MANTA,632559.86,73
EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE OTAVALO,630216.65,89
Junta Parroquial Tababela ,626113.38,6
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE PORTOVELO,625485.28,175
"EMPRESA PÙBLICA MUNICIPAL DE AGUA POTABLE, Y ALCANTARILLADO, SANEAMIENTO AMBIENTAL, OBRAS Y SERVICIOS PARA EL CANTON QUININDE EMAPASOSQ-EP",624124.86,108
DIRECCION DISTRITAL 06D04 COLTA GUAMOTE SALUD,623763.13,38
"EMPRESA PUBLICA MUNICIPAL DE ECONOMIA CIRCULAR DE APROVECHAMIENTO, VALORIZACION Y DISPOSICION FINAL DE GESTION DE RESIDUOS Y DESECHOS CIRCULAR EP",623147.46,96
GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE TURI,623036.12,16
Municipio de Sozoranga,621930.18,9
DIRECCION DISTRITAL 08D03 -MUISNE - ATACAMES -SALUD,617583.47,9
CUERPO DE BOMBEROS DEL CANTON FCO DE ORELLANA,613368.67,24
JEFATURA ZONAL DE INTERVENCION Y RESCATE GUAYAS,613286.38,44
GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL DE AHUANO,612382.75,25
"BRIGADA DE AVIACION DE LA FUERZA TERRESTRE No. 15 ""PAQUISHA""",610643.83,267
BRIGADA DE INFANTERIA N 5 GUAYAS,610354.1,82
DIRECCION DISTRITAL 14D01C05 - MACAS - MORONA SANTIAGO - MTOP,610215.36,68
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON CUMANDA,609746.03,54
DIRECCION DISTRITAL 12D04 - QUINSALOMA - VENTANAS - SALUD,609612.43,29
DIRECCION DISTRITAL 07D02- MACHALA-EDUCACION,608275.44,56
CUERPO DE BOMBEROS DE LOJA,607148.5700000001,89
SUBZONA SANTO DOMINGO DE LOS TSACHILAS,606799.53,7
COORDINACION ZONAL 2-SALUD,605430.02,51
DIRECCION DISTRITAL 12D03 QUEVEDO - MOCACHE SALUD,604769.81,28
COORDINACION ZONAL 1 - MINISTERIO DE DESARROLLO HUMANO,603338.5499999999,212
DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA LOS RIOS,601095.6799999999,48
DIRECCION DISTRITAL 09D17-MILAGRO-EDUCACION,600852.85,78
JEFATURA ZONAL DE OPERACIONES ESPECIALES GUAYAS,600711.85,53
Consejo de Participación Ciudadana y Control Social,599133.88,35
HOSPITAL BASICO DE PEDERNALES DR. FRANCISCO VASQUEZ BALDA,597756.0,12
DIRECCION DISTRITAL 09D23-SAMBORONDON-EDUCACION,589463.41,22
DIRECCION DISTRITAL 07D05-ARENILLAS-HUAQUILLAS-LAS LAJAS-EDUCACION,589160.5,34
Dirección Distrital 11D01-Loja-Educación,588299.15,80
JUNTA PARROQUIAL EL VALLE,587920.04,28
DIRECCION DISTRITAL 09D11-ALFREDO BAQUERIZO MORENO-SIMON BOLIVAR-EDUCACION,585299.4199999999,50
SUBZONA CARCHI,585240.42,48
EMPRESA PUBLICA PARA LA INNOVACION Y DESARROLLO DE LA UNIVERSIDAD DE GUAYAQUIL INNOVA UGEP,584645.44,10
COMANDO DE OPERACIONES AEREAS Y DEFENSA,583430.9,61
EMPRESA PUBLICA DE COMUNICACION DEL ECUADOR EP,577240.18,26
JUNTA PAROOQUIAL PAPALLACTA,576326.62,4
DIRECCION DISTRITAL 07D02-MACHALA-SALUD,574491.87,34
DIRECCION DISTRITAL DE SALUD NO 09D14,573274.89,29
INSTITUTO NACIONAL DE EVALUACION EDUCATIVA,573018.78,48
GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE SEVILLA DON BOSCO,570787.78,10
GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE SANTA CECILIA,566504.26,8
EMPRESA PÚBLICA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO SANITARIO DEL CANTÓN JIPIJAPA,565982.0,6
SUBZONA TUNGURAHUA,564957.33,77
DIRECCION DISTRITAL 17D12 - PEDRO VICENTE MALDONADO - PUERTO QUITO - SAN MIGUEL DE LOS BANCOS  - SALUD,564036.73,37
EMPRESA PUBLICA MUNICIPAL MOVILIDAD DE MANTA-EP,563144.7999999999,38
MINISTERIO DE PRODUCCION COMERCIO EXTERIOR INVERSIONES Y PESCA,561097.0,4
EMPRESA PUBLICA LA UEMPRENDE EP,560667.0,56
DIRECCION DISTRITAL 11D03 - PALTAS - CATAMAYO - CHAGUARPAMBA - OLMEDO - SALUD,560374.8,94
ESCUELA SUPERIOR MILITAR DE AVIACION COSME RENNELLA BARBATTO,560326.38,67
ACCIÓN SOCIAL MUNICIPAL DEL CANTÓN CUENCA,559875.8400000001,227
COMANDO DE EDUCACION Y DOCTRINA MILITAR TERRESTRE,556481.5,171
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON BOLIVAR,556213.94,17
DIRECCION DISTRITAL 05D04 -PUJILI-SAQUISILI-SALUD,555128.23,30
"DIRECCION NACIONAL DE INVESTIGACION CONTRA LA VIOLENCIA DE GENERO, MUJER, FAMILIA, NINEZ Y ADOLESCENCIA, TRATA DE PERSONAS Y TRAFICO ILICITO DE MIGRANTES.",555024.74,50
DIRECCIÓN DISTRITAL 13D11 SAN VICENTE-SUCRE-EDUCACION,553501.14,117
JEFATURA ZONAL DE POLICIA MONTADA QUITO,551475.86,58
DIRECCION DISTRITAL 03D01 -AZOGUES-BIBLIAN-DELEG-SALUD,549770.76,38
UNIDAD DE GESTION DE INVESTIGACION Y PROYECCION SOCIAL,548446.78,35
DIRECCIÓN DISTRITAL 13D 05 - EL CARMEN - SALUD,547064.82,10
DIRECCION DISTRITAL 14D03 - LOGROÑO - SUCUA - SALUD,546913.0,47
DIRECCION DISTRITAL 13D11 - SAN VICENTE - SUCRE - SALUD,546599.02,16
HOSPITAL SAN VICENTE DE PAUL,545481.37,29
DIRECCION DISTRITAL 09D22 - PLAYAS - EDUCACION,545235.1699999999,33
COORDINACION ZONAL 2 DEL MINISTERIO DE INCLUSION ECONOMICA Y SOCIAL,544225.6,15
Junta Parroquial de Curaray,543655.59,12
Junta Parroquial de Sangay,542844.04,47
DIRECCIÓN DISTRITAL 05D06 - SALCEDO - EDUCACIÓN,541899.9099999999,18
CENTRO DE RESPONSABILIDAD SOCIAL Y SOLIDARIA MUNICIPAL JORGE CAJAS GARZÓN DEL CANTÓN SHUSHUFINDI,541562.91,177
EMPRESA PUBLICA DE SERVICIOS INTEGRALES EPSILACO EP,540018.15,5
UNIDAD EDUCATIVA VALM. MANUEL NIETO CADENA,538188.5599999999,10
DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA - CHIMBORAZO,538102.5,57
MINISTERIO DEL DEPORTE,535906.45,54
GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIA RURAL DE LLANO CHICO,534550.25,93
ESTACION NAVAL DE SAN LORENZO,532226.95,166
DIRECCION DISTRITAL NO.09D24-DURAN - EDUCACION,532150.71,23
DIRECCION DISTRITAL 16D01 - PASTAZA - MERA - SANTA CLARA - SALUD,531156.37,30
Direccion Distrital 09D16 - El Triunfo - Gnral. Antonio Elizalde - Educacion,530186.5,69
SUBZONA IMBABURA,530081.99,57
FISCALIA DE PICHINCHA,529324.73,52
CUERPO DE BOMBEROS MUNICIPAL DE MACHALA,526838.72,20
UNIDAD EDUCATIVA DE FUERZAS ARMADAS COLEGIO MILITAR N 3 HEROES DEL 41,526744.92,21
Unidad Educativa Eugenio Espejo,522869.6,115
Brigada de Fuerzas Especiales No 9 Patria,520508.89,178
HOSPITAL OSKAR JANDL,520062.83,82
CUERPO DE BOMBEROS DE SALINAS,519174.87000000005,107
DIRECCION DISTRITAL 09D15 EMPALME EDUCACION,519116.74,73
Ilustre Municipalidad del Cantón Jama,518204.29,69
"AGENCIA NACIONAL DE REGULACION, CONTROL Y VIGILANCIA SANITARI",514347.57,98
"DIRECCION NACIONAL DE BIENESTAR SOCIAL, SEGURIDAD Y SALUD OCUPACIONAL",513670.66,34
BRIGADA DE SELVA N 17 PASTAZA,511315.01,228
DIRECCION DISTRITAL DE SALUD NO. 08D05,508324.48,10
BASE NAVAL NORTE,507027.21,174
CUERPO DE BOMBEROS LA TRONCAL,504738.21,30
DIRECCIÓN DISTRITAL 06D01 RIOBAMBA CHAMBO -EDUCACIÓN,504322.52,12
DIRECCION DISTRITAL DE TRANSPORTE Y OBRAS PUBLICAS DE SANTO DOMINGO DE LOS TSACHILAS,503656.18,2
museo y parque arqueologico pumapungo,503521.35,6
GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE VERACRUZ,502067.17,50
Brigada de Infantería No.13 Pichincha,502059.94999999995,164
CONSEJO DE ASEGURAMIENTO DE LA CALIDAD DE LA EDUCACION SUPERIOR,501897.3,85
DIRECCION DISTRITAL 09D07-PASCUALES-1-EDUCACION,500167.07,50
PATRONATO PROVINCIAL DEL GADPCH,499270.48,346
SUBZONA GUAYAS,494808.32,24
"EMPRESA PUBLICA MUNICIPAL DE AGUA POTABLE, ALCANTARILLADO Y COMERCIALIZACION DEL CANTON VENTANAS EPAVEN",494461.23,9
GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE PACAYACU ,492537.38,78
BASE NAVAL SAN CRISTOBAL,492011.67,21
EMPRESA PUBLICA MUNICIPAL DE FAENAMIENTO Y CARNICOS DE RUMIÑAHUI,491733.19,52
DIRECCIÓN PROVINCIAL DEL CONSEJO DE LA JUDICATURA IMBABURA,489348.62,56
UNIVERSIDAD DE LAS FUERZAS ARMADAS-ESPE SEDE SANTO DOMINGO DE LOS TSÁCHILAS,488502.37,78
GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE PANGUINTZA,487770.42,5
DIRECCION DISTRITAL 05D03-PANGUA-SALUD,487347.57,72
SERVICIO NACIONAL DE ADUANA DEL ECUADOR - DISTRITO QUITO UE,487315.69,10
EMPRESA PUBLICA MUNICIPAL DE TRANSITO DE PASAJE EPMT-P,487226.23000000004,60
DIRECCION DISTRITAL 12D05 - PALENQUE - VINCES -  EDUCACION,485353.81,54
GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL PACTO,484669.7,3
COORDINACION ZONAL 5 - MINISTERIO DE DESARROLLO HUMANO,483143.49,30
GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE AVILA HUIRUNO,482542.05999999994,37
SUBZONA PICHINCHA,482345.1,9
EMPRESA PUBLICA MUNICIPAL DE TRANSITO TRANSPORTE TERRESTRE FLUVIAL MARITIMO SEGURIDAD VIAL TERMINAL TERRESTRE Y MOVILIDAD DE SANTA ROSA - EMOVTT SR,477525.27,6
UNIDAD DE TERMINALES,475237.77999999997,34
CASA DE LA CULTURA ECUATORIANA BENJAMIN CARRION,473615.07,34
"MINISTERIO DE EDUCACION, DEPORTE Y CULTURA ZONA 5",472559.62,10
GOBIERNO AUTONOMO DESCENTRALIZADO DE LA PARROQUIA DE PIFO,472199.22,14
DIRECCION DISTRITAL 08D01-ESMERALDAS-ESMERALDAS-MIT,471314.0,6
GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL DE SININCAY,471159.87,115
GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE PUERTO MISAHUALLI,470391.0,5
GOBIERNO AUTONOMO PARROQUIAL RURAL DE CUMBARATZA,469727.35,6
UNIDAD NACIONAL AEROPOLICIAL,469676.27,32
BENEMERITO CUERPO DE BOMBEROS DE SANTO DOMINGO,469410.92,99
GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE BELLAVISTA,469327.19999999995,2
CUERPO DE BOMBEROS DE LATACUNGA,468646.24,18
BATALLON DE INFANTERIA MOTORIZADO N 13 ESMERALDAS,468176.3,154
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON OLMEDO,466550.65,90
GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL SAN ROQUE,466045.73,3
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE ESPEJO,465003.04000000004,54
DIRECCION DISTRITAL 04D01-SAN PEDRO DE HUACA-TULCAN-SALUD,463673.56999999995,26
SUBDIRECCION ZONAL DEL LITORAL,463410.0,11
UNIDAD EDUCATIVA MIGUEL ITURRALDE,461959.28,99
Faeala21,461596.71,108
EMPRESA PUBLICA DE AGUA POTABLE Y ALCANTARILLADO DEL CANTON EL GUABO EPAAGUA,459594.17,58
HOSPITAL PEDIATRICO ALFONSO VILLAGOMEZ,458503.48,106
DIRECCION DISTRITAL-14D01-MORONA-MINISTERIO DE DESARROLLO HUMANO,458490.38,167
CENTRO DE GESTIÓN Y DESARROLLO SOCIAL DEL GOBIERNO AUTÓNOMO DESCENTRALIZADO DE LA PROVINCIA DEL CAÑAR,451983.54000000004,373
SERVICIO ECUATORIANO DE CAPACITACION PROFESIONAL,451915.86000000004,17
JUNTA PARROQUIAL DE MOLLETURO,451723.39,10
EMPRESA MUNICIPAL DE ASEO SANTA ROSA EMAS EP,451524.38,23
DIRECCION DISTRITAL 06D02 ALAUSI CHUNCHI SALUD,448581.98,44
"SUPERINTENDENCIA DE COMPANIAS, VALORES Y SEGUROS",448481.35,60
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON PINDAL,447735.05,112
Ala de Combate No. 22,447696.7,29
JEFATURA ZONAL DE INTERVENCION Y RESCATE QUITO,447488.36,60
SUMAK KAWSAY WASI INSTITUTO DE ATENCION SOCIAL PRIORITARIA DEL GOBIERNO PROVINCIAL DE NAPO,446610.48,196
SERVICIO DE CESANTIA DE LA POLICIA NACIONAL,446489.37,34
DIRECCION DISTRITAL 13D06 - JUNIN - BOLIVAR - PICHINCHA -SALUD,445839.03,53
GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL DE CHECA,445693.83999999997,65
JUNTA PARROQUIAL SAN JOSE DE MINAS,442320.27,102
HOSPITAL GERIATRICO DOCTOR BOLIVAR ARGUELLO P,441598.27,105
EMPRESA PUBLICA DE MOVILIDAD DE LA MANCOMUNIDAD DE COTOPAXI EPMC,441157.64,15
EMPRESA PUBLICA DE MOVILIDAD DEL GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON GUALACEO,439636.06,31
GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE LA MERCED,437863.55,92
EMPRESA ELECTRICA AZOGUES C.A.,437721.3,57
DIRECCION DISTRITAL 02D01-GUARANDA-BOLIVAR-MIT,436104.88999999996,15
FISCALIA DEL GUAYAS,434705.24,36
MINISTERIO DE TRANSPORTE,434477.43,14
DIRECCION PROVINCIAL DE SALUD DE ORELLANA,432295.54,33
GOBIERNO AUTONOMO DESCENTRALIZADO RURAL DE PINTAG,431644.93,28
GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIA RURAL GUALEA,430711.63999999996,63
JUNTA PARROQUIAL LIMONCOCHA,430686.58,10
DIRECCION DISTRITAL 13D04 24 DE MAYO SANTA ANA OLMEDO,429597.41,5
HOSPITAL GENERAL II DE LIBERTAD,428066.21,43
EMPRESA PUBLICA MUNICIPAL DE TRANSITO Y MOVILIDAD DE DAULE EP,426931.08,44
HOSPITAL BASICO MARIA LORENA SERRANO,425726.66,76
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON SEVILLA DE ORO,425333.83,115
Direccion Provincial del Consejo de la Judicatura de Santa Elena,424510.45999999996,19
COMANDO PROVINCIAL DE POLICIA SUCUMBIOS N.-21,424478.30000000005,10
E-P EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE GUARANDA E-P EMAPA-G,424106.57,37
"EMPRESA PUBLICA MUNICIPAL DE AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO AMBIENTAL DEL CANTON AZOGUES",423973.68,65
GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE MALIMPIA,423813.05000000005,68
DIRECCIÓN DISTRITAL 09D02 - XIMENA 2 -  EDUCACIÓN,423741.36,130
DIRECCION DISTRITAL 12D02 - PUEBLOVIEJO - URDANETA - SALUD,422622.52,19
Junta Parroquial de Nono,422290.12,29
DIRECCIÓN DISTRITAL 11D01-LOJA-LOJA-MTOP,421122.05,14
DIRECCION DISTRITAL 03D02-CAÑAR-EL TAMBO-SUSCAL-EDUCACION,420098.89,81
COMITE DE DESARROLLO COMUNITARIO EL INGA BAJO,419002.08,1
DIRECCION DISTRITAL 09D13-BALZAR-COLIMES-PALESTINA-SALUD,418842.44000000006,22
UNIDAD EDUCATIVA DE FUERZAS ARMADAS COLEGIO MILITAR N. 10 ABDON CALDERON,418065.61,57
GOBIERNO AUTONOMO DESCENTRALIZADO DEL CANTON MARCABELI,417272.79000000004,109
JUNTA PARROQUIAL SANTA ELENA,416237.6,6
"EMPRESA PUBLICA MUNICIPAL DE PARQUES, CEMENTERIOS, AREAS VERDES, ZONAS DE RECREACION Y ESPACIOS CULTURALES DE PORTOVIEJO",415689.95,19
GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE BOMBOIZA,413780.38,45
GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE GENERAL FARFAN,410075.82,49
DIRECCIÓN DISTRITAL 14D04 GUALAQUIZA SAN JUAN BOSCO SALUD,406030.94,44
ESCUELA DE CONDUCTORES PROFESIONALES ESPOL EP,405874.2,72
FEDERACION ECUATORIANA DE ATLETISMO,405443.98000000004,15
Junta Parroquial de Quingeo,405403.61,11
GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE CHAVEZPAMBA,404727.42,33
DIRECCION DISTRITAL 07D01-CHILLA-EL GUABO-PASAJE-EDUCACION,403343.96,22
GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL ROSA FLORIDA,401485.88,4
DIRECCION DISTRITAL 05D01-LATACUNGA-SALUD,400770.61,14
EMPRESA PUBLICA ESPOCH,400639.42,54
DIRECCION DISTRITAL 13D03 JIPIJAPA PUERTO LOPEZ,400616.01,16
EMPRESA PUBLICA MUNICIPAL REGISTRO DE LA PROPIEDAD DEL CANTON SANTO DOMINGO,400239.73,87
SECRETARIA DE EDUCACION INTERCULTURAL BILINGÜE Y LA ETNOEDUCACION,398739.31,106
UNIDAD EDUCATIVA ALFG. VICTOR NARANJO FIALLO,395172.72,7
CENTRO CLINICO QUIRURGICO AMBULATORIO (HOSPITAL DEL DIA) - MACAS,394172.72000000003,160
DIRECCION DISTRITAL 17D12-PEDRO VICENTE MALDONADO-PUERTO QUITO-SAN MIGEL DE LOS BANCOS-EDUCACION,393428.53,19
GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL DE PUELLARO,392249.46,53
EMPRESA PUBLICA DE AGUA POTABLE Y ALCANTARILLADO DEL CANTON SANTA ROSA EMAPASR-EP,391905.29,27
DIRECCION DISTRITAL 02D04-CALUMA-ECHEANDIA-LAS NAVES-SALUD,391884.45,17
DIRECCION DISTRITAL 13D08 - PICHINCHA - EDUCACION,391799.02,107
Hospital Municipal Nuestra Señora de la Merced,390506.27999999997,68
Junta Parroquial de Sayausi,388538.63,66
JUNTA PARROQUIAL DE GUAYLLABAMBA,386510.46,4
MUNICIPIO DE ALFREDO BAQUERIZO MORENO (JUJAN),385447.54,53
EMMAIT-EP,383178.97,17
"MINISTERIO DE EDUCACION, DEPORTE Y CULTURA ZONA 2",382845.18,55
GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL DE TARQUI,382832.3,11
Patronato Municipal de Inclusión Social del Gobierno Autónomo Descentralizado Municipal de Santo Domingo,382323.8,237
DIRECCION DISTRITAL 21D02 LAGO AGRIO-SALUD,381217.45,90
DIRECCION DISTRITAL 09D21 SAN JACINTO DE YAGUACHI - EDUCACION,380474.08,64
"EMPRESA PUBLICA MUNICIPAL DE AGUA POTABLE ALCANTARILLADO FAENAMIENTO Y SERVICIOS PUBLICOS DEL CANTON SUCUA, EPMAPAF-SP",379670.11,95
JUNTA PARROQUIAL DE CHIGUAZA,379011.61,11
CENTRO DE APOYO SOCIAL MUNICIPAL DE LOJA,378150.94,189
GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL GUAYAS,378097.58999999997,7
GAD PARROQUIAL DE SANTA ROSA,377200.55,44
CENTRO CLINICO QUIRURGICO AMBULATORIO HOSPITAL DEL DIA NUEVA LOJA,376824.33,99
JUNTA NACIONAL DE DEFENSA DEL ARTESANO,376389.32,44
CONSEJO NACIONAL ELECTORAL DELEGACION PROVINCIAL DEL GUAYAS,376132.52,89
BASE AEREA MARISCAL SUCRE BAMAS,372220.28,202
CUERPO DE BOMBEROS DEL CANTON SALCEDO,370256.4,9
DIRECCION PROVINCIAL DEL CONSEJO DE LA JUDICATURA NAPO,369924.0,54
DIRECCION DISTRITAL 07D06-SANTA ROSA-EDUCACION,366662.28,79
UNIDAD NACIONAL DE INVESTIGACION ANTIDELICUENCIAL,366449.02,29
GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DE BALSAS PROVINCIA DE EL ORO,365946.56,95
CENTRO CLINICO QUIRURGICO AMBULATORIO HOSPITAL DEL DIA EL BATAN,365796.99,106
DIRECCION DISTRITAL 09D13 BALZAR COLIMES PALESTINA EDUCACION,365339.45,73
GOBIERNO AUTONOMO DESCENTRALIZADO PARROQUIAL RURAL SAN ANTONIO DE PICHINCHA ,365008.98,78
Empresa Pública de Servicios Municipales Antonio Ante SERMAA-EP,364737.18,227
